Area,Item,Year,Export Quantity,Export Value,Import Quantity,Import Value,Export Unit Price (USD),import Unit Price (USD)
Belgium,Mushrooms and truffles,2020,27389.91,62955.0,23014.1,48821.0,2298.474146136296,2121.3516930924957
Belgium,Mushrooms and truffles,2021,24309.63,61040.0,21587.16,53078.0,2510.939080520765,2458.7764207982896
Ireland,Mushrooms and truffles,2000,39702.0,79246.0,345.0,1189.0,1996.0203516195659,3446.376811594203
Ireland,Mushrooms and truffles,2001,49515.0,104439.0,596.0,1319.0,2109.2396243562557,2213.0872483221474
Ireland,Mushrooms and truffles,2002,51145.0,95753.0,992.0,2053.0,1872.1869195424772,2069.556451612903
Ireland,Mushrooms and truffles,2003,51788.0,124135.0,878.0,2324.0,2396.983857264231,2646.9248291571753
Ireland,Mushrooms and truffles,2004,41601.0,110294.0,814.0,2537.0,2651.2343453282374,3116.707616707617
Ireland,Mushrooms and truffles,2005,52228.0,136551.0,574.0,2367.0,2614.517117255112,4123.693379790941
Ireland,Mushrooms and truffles,2006,40913.0,140639.0,754.0,2601.0,3437.513748686237,3449.602122015915
Ireland,Mushrooms and truffles,2007,49691.0,152565.0,1318.0,3686.0,3070.2742951439895,2796.6616084977236
Ireland,Mushrooms and truffles,2008,71440.0,178015.0,1307.0,5717.0,2491.8113101903696,4374.139250191278
Ireland,Mushrooms and truffles,2009,43770.0,139713.0,15538.0,40198.0,3191.980808773132,2587.0768438666496
Ireland,Mushrooms and truffles,2010,40915.0,123047.0,26589.0,68204.0,3007.3811560552363,2565.1209146639585
Ireland,Mushrooms and truffles,2011,37288.0,128850.0,30325.0,79437.0,3455.5352928556104,2619.521846661171
Ireland,Mushrooms and truffles,2012,37204.0,125484.0,28499.0,69150.0,3372.863132996452,2426.400926348293
Ireland,Mushrooms and truffles,2013,32729.0,133679.0,3235.0,12307.0,4084.4205444712643,3804.3276661514683
Ireland,Mushrooms and truffles,2014,34194.3,138332.0,3700.64,9953.0,4045.4695665651875,2689.534783172641
Ireland,Mushrooms and truffles,2015,32135.4,111157.0,2281.71,4526.0,3459.0202704805292,1983.6000192837828
Ireland,Mushrooms and truffles,2016,30928.5,101041.0,2753.53,6043.0,3266.922094508301,2194.637429045625
Ireland,Mushrooms and truffles,2017,31341.28,104577.0,1291.52,3136.0,3336.717581413395,2428.1466798810707
Ireland,Mushrooms and truffles,2018,30644.53,102920.0,1881.14,4077.0,3358.5112905957444,2167.302805745452
Ireland,Mushrooms and truffles,2019,44655.09,112928.0,9486.7,20682.0,2528.894242515243,2180.104778268523
Ireland,Mushrooms and truffles,2020,45159.29,132686.0,10557.49,23988.0,2938.1772831238045,2272.130970524244
Ireland,Mushrooms and truffles,2021,55903.79,189450.0,13785.17,32487.0,3388.857893176831,2356.662993637365
Netherlands,Mushrooms and truffles,2000,60342.0,123414.0,15221.0,21482.0,2045.2421199164758,1411.3395966099467
Netherlands,Mushrooms and truffles,2001,65190.0,128276.0,20584.0,28100.0,1967.7251112133763,1365.137971239798
Netherlands,Mushrooms and truffles,2002,67352.0,134534.0,23570.0,34327.0,1997.4759472621452,1456.3852354688163
Netherlands,Mushrooms and truffles,2003,67000.0,159952.0,25256.0,43605.0,2387.3432835820895,1726.5204307887234
Netherlands,Mushrooms and truffles,2004,78858.0,213241.0,29829.0,59207.0,2704.1137234015573,1984.8804854336383
Netherlands,Mushrooms and truffles,2005,45774.0,117176.0,22843.0,42088.0,2559.8811552409666,1842.4900407126909
Netherlands,Mushrooms and truffles,2006,56885.0,150950.0,21792.0,40859.0,2653.5993671442384,1874.9541116005873
Netherlands,Mushrooms and truffles,2007,83592.0,245481.0,34161.0,77521.0,2936.6566178581684,2269.283686074764
Netherlands,Mushrooms and truffles,2008,93634.0,294447.0,46929.0,118792.0,3144.6589913920157,2531.313260457286
Netherlands,Mushrooms and truffles,2009,105466.0,289285.0,37730.0,89163.0,2742.921889518897,2363.1857937980385
Netherlands,Mushrooms and truffles,2010,109455.0,291897.0,38044.0,86697.0,2666.821981636289,2278.8613184733467
Netherlands,Mushrooms and truffles,2011,99417.0,281256.0,38167.0,91219.0,2829.0533812124686,2389.9965939162103
Netherlands,Mushrooms and truffles,2012,98869.0,272453.0,25960.0,63040.0,2755.6969323043627,2428.351309707242
Netherlands,Mushrooms and truffles,2013,69320.0,199795.0,22629.0,61604.0,2882.2129255626082,2722.347430288568
Netherlands,Mushrooms and truffles,2014,68761.5,203643.0,22227.34,59202.0,2961.584607665627,2663.476601338712
Netherlands,Mushrooms and truffles,2015,58843.55,158859.0,18987.73,49343.0,2699.6841624952945,2598.678199026424
Netherlands,Mushrooms and truffles,2016,61939.57,168068.0,16885.32,46009.0,2713.418901681106,2724.792897025345
Netherlands,Mushrooms and truffles,2017,94376.84,268369.0,29748.74,97373.0,2843.589592531388,3273.180645634067
Netherlands,Mushrooms and truffles,2018,91129.71,279862.0,31507.65,101596.0,3071.029195637734,3224.4867516301597
Netherlands,Mushrooms and truffles,2019,78471.31,238221.0,29222.03,86903.0,3035.771927345166,2973.886482219066
Netherlands,Mushrooms and truffles,2020,77949.74,248937.0,43175.98,97099.0,3193.5577976270347,2248.9124740191187
Netherlands,Mushrooms and truffles,2021,77210.45,278280.0,48104.05,117144.0,3604.1753415502694,2435.2211508178625
